"","line_text_star_final","line_text_final"
"91","1","나 믿어라 최악임 진짜 역대급"
"92","1","안본눈삽니다"
"93","1","별점 알바들을 썼나"
"94","1","어떻게 이런 영화에 평점을 저렇게 높이 줄수있는지 의문이 듭니다 전부 알바인것 같기도 하고요 네이버 영화 평점에 대한 신뢰도가 무너졌습니다 영화 정말 유치해요"
"95","3","진짜 요즘 국산대중영화 왜이러냐 웃기지도 재밌지도 않고 뻔할뻔짜 캐릭터에 보는 내내 유치해서 죽을 뻔 유치함이 매력인 장르인데 내가 이해를 못한건가 시나리오 그냥 막쓰나벼~"
"96","2","알바들 죽고싶나30분보다 나왔다진짜 재미도없고 의미도없고 감독누구니지도 챙피해서 얼굴도없네"
"97","6","바보같은 영화다 알면서 킬링타임으로 봄"
"98","10","쿠키영상에서 홍석천이 왜 거기서 나와"
"99","1","알바한테 속지마라 진심이다 돈 아껴라 영화보면서 화나는 건 진짜 역대급이다"
"100","4","개노잼 ㅜㅜ심하잖아요"
"101","8","겁나 재밌게 잘 봤어요ㅐ"
"102","10",""
"103","10","가볍고 재밌게 보기 좋아요"
"104","1","댓글부대인지 모르겠지만 코믹적인 부분도 관객들 다 예상 포인트에 자리잡고 있어서 재밌다기 보단 오글거림에 가까웠음"
"105","10","엄청 재미있게 봤네요~~"
"106","10","너무 재미있었어요"
"107","10",""
"108","10","오랜만에 실컷 웃으며 봤네요 재밌습니다"
"109","10","개인적으로 재밌었어요 스토리에 기대하면 실망하실게용 그냥 코미디로 보시는게 좋아요"
"110","9","오래간만에 영화간 가서 재밌게 웃고 보던 영화얐던거 같습니다"
"111","10","재밌게 봤어요 진짜 웃겨요"
"112","8","유쾌하니 보기좋아요 재미있네요"
"113","10","재밌었어요 ㅎㅎㅎ 추천"
"114","10","그냥김영광이영화먹여살렸다대박"
"115","10","진짜 세상 개재밌음 이  영화를 보면 다들 김영광한테 빠짐 진짜 김영광은 꾸미는거보다 후질근 한게 더 잘생긴거같다 진짜 사랑스러움 ㅠㅠ"
"116","2","배우들이 열심히 하는 것 같긴 한데 각본 연출이 쓰레기임 하나도 안웃기고 액션이 시원하지도 않고 재미없고 뻔하게 흘러감 괜히 한국사회 어쩌구 꼬집으려고 이것저것 요소 넣었지만 오히려 기분 나쁘기만 함"
"117","1","세상에서 제일 재미없습니다이렇게 재미없는영화 처음봤습니다 댓글 알바 극혐이네요"
"118","1","뭐랄까 한마디로 압축이 안되는 최악 억지개그 남발 개연성 상실 스토리 실종 왜 괜히 레드벨벳만 들먹이는지"
"119","1","정말 너무한 영화 평점3점 이상은 무조건 댓글 알바가 의심되는 영화 정말 시간 아까운 영화김영광씨 이선빈씨 얼굴 볼 거 아니면 보지 마세요"
"120","2","전부 다 유추가능하고 클리쉐개쩔고 개연성 개나줘버린듯 그렇다고 웃긴것도아니고 초딩도아니고 이게 무슨 유머인지 돈아까워요2021년도에 이런영화가 나오다니 놀라울따름ㅜ"
"121","1","역대급 노잼영화 당시 평점 9점대였던 거 보고 갔는데 나와서 리뷰보니 댓글알바 살벌하게 쓴 걸 깨달았다 극한직업 같은 거 기대하고 가면 돈 날리고 자다옵니다 진짜 심각하게 유치하고 대체 어디가 웃기다는 건지 모"
"122","1","중국영화 평점 높은이유"
"123","8","킬링타임용으로 딱좋아요"
"124","7","남주여주 본인들 스스로가 코믹연기를 어색함을 느끼는게 보임 정말 저가에 나름 킬링타임용으로 그럭저럭 근데 임팩트가"
"125","7","요즘은 이런 코미디 영화가 좋네요"
"126","7","김영광의 연기 변신은 최고네요~~"
"127","2","알바들인가 전 개인적으로 진짜 노잼대사도 오글거리고 연기도 너무 못함"
"128","4","감독이 쓸 수 있는 개그란 개그는 다 씀 ㅠ 근데 그 개그들이 다 뻔해서 재미가 없음 댓글 보고 기대 많이하고 갔는데 나만 재미를 못 느끼는 건가 싶음 배우들 연기는 다 괜찮아서 좋았음  김영광 얼굴이"
"129","10","유치하면서 잼나요 처음부터 잼나게 웃으면서 잘 봤어요넷플 죽지않는 인간들의 밤 잼나게 보신분은 이것도 잼나게 보실듯전 이게 더 잼났어요~~"
"130","8","배우들 연기도 잘하고 재밌었어요"
"131","10","배우들 케미도 좋고 너무 재밌게 봤어요"
"132","10","마음 편히 가서 웃으며 보기 좋은 영화였어요두분 호흡 너무 좋고이선빈님 김영광님 연기 너무 잘하세요"
"133","10","유쾌하고 스토리 배우 구성 모두 최고"
"134","10","오대환배우 연기정말 잘하네요 전반적으로 빠르게 지나가니 아무생각없이 웃고보기 좋았습니다 한씬한씬 즐겁고 유쾌하게 지나가 요즘같은시기에 웃을수있었네요"
"135","10","올해 본 영화들 중 최고"
"136","9","넘 재밌게 봤어용 엄마도 좋아하시궁ㅎㅎㅎ"
"137","10","너무웃겨요 진짜배우들간 케미너무 좋고 재밌었네요 추천합니다~~꼭보세요"
"138","8","주연 조연 뿐 아니라 감초 같은 배우분들도 많이 나와서 더 재밌게 봤음"
"139","9","이거 생각보다 잼납니다쓸데없는 신파 없고 감동포인트 억지로 주는거 없고 요소요소 빵 터지는 장면들도 괜찮고잘만든 코믹 액션입니다추천"
"140","10","할 거 없어서 간만에 영화관 직행했는데 유머 쩔고 액션 개쩔고"
"141","10","배우들의 연기는 정말 믿고 볼만합니다"
"142","8","배우들 모두 캐릭터 소화력이 장난아님"
"143","10","흥미로운 소재와 코믹한 연기력으로 보는내내 웃으면서 볼 수 밖에 없었네여"
"144","10","오랜만에 깔깔 되면서 웃으면서 본 영화입니다 시간 가는줄 모르고 봤어요~"
"145","10","시간 가는줄 모르고 미션파서블이라는 영화에 흠뻑 빠져서 봤습니다"
