"","line_text_star_final","line_text_final"
"70","10","액션 별로 기대 안했는데 좋았어요"
"71","10","엄마랑 봤는데 재미있었어요"
"72","10","라이트한 히어로물은 이제 지겹다"
"73","9","디씨 느낌을 많이 줄여서 가벼워짐  장점이기도 한데 단점 이기도함 액션씬은 많은데 전작들 처럼 임팩트가 줄어든 느낌 이 들어서 아쉬움  재미 없지는 않아용"
"74","10","칼드로고가 영어해서 놀랫"
"75","8","배댓슈보다는 잼있었다배댓슈는 지루했는데 그래서 120분으로  줄인 느낌도 났고 더늘려도 괜찮을뻔했다이번편은 지루하지않고 몰입도 진짜 좋았다근데 DC는 유머는 넣지말자 하나도안웃김슈퍼맨 진짜쎄더라ㄷㄷㄷ울프 강한"
"76","9","정신 차렸네 닼나 때만큼은 아니지만 그래도 DC가 예전의 명성을 되찾을 수 있을 것 같다 쿠키영상 달리기는 플래시가 이기게 해줘라"
"77","8","슈퍼맨 아래 다 쩌리들  블랙핑크 노래순간 오디오 실수인가 했음  뭔가 마블영화랑 비교되는데퀄리티가 마블에 비해 떨어진다"
"78","10","배트맨 이후로 여태껏 똥만싸다 원더우먼부터 그럴싸해졌다는데 10점 줍니다 앞으로도 기대됨"
"79","10","그냥 옛날 Dc가 아니다 그냥 모든면에서 상상을 초월한다"
"80","10","오랜만에 참 재밌게봤네요~ 원더우먼과 슈퍼맨의활약 굿~ 즐거운 저녁시간이됐어요^^"
"81","8","많은 분들이 더럽게 재미 없다고 해서 별 생각 없이 봤는데전 뭐 너~~무 재미있진 않았지만 그래도 뭐 유쾌하게 보고 왔습니다~ 일단 원더우먼 누님이 너~~무 예쁘시니까~~^^ 근데 이 영화 다음편도 나오나요"
"82","10","디씨 애니 코믹스 다 파는 사람으로서 아쉬운 거 많이 보이긴 했지만 머글 입장에서 봤고 ㄹㅇ 괜찮았다 조금만 더 잘하자ㅠㅠㅠㅠ 조스웨던 걔는 제발 좀 버리고 ㅠㅠㅠㅠ 남이 버린 걸 왜 부득불 주워오고 그러니 그런 건"
"83","7","나쁘지않았다 전체적으로 볼거리도 많고 그랬지만 문제는 개연성이 떨어진다 이야기에 깊이가 부족하다 너무 단순하다"
"84","1","진짜노잼 핵노잼 보다졸음"
"85","7","신도시 갓 개업한 음식점 맛이랄까"
"86","5","잭스나이더미워할꺼야"
"87","6","솔직히 멀보고 온지도 모르겠다 그냥 또다른 슈퍼맨 영화 인것같다 전체적인 스토리만 흘러갈뿐 내용은 없다"
"88","6","기대 해지말고 그냥  보세요"
"89","10","시작이 좋다 다음 영화도 매우 기대됨앞으로 성장할 플래시도 빨리 보고싶다"
"90","10","DC에서도 어벤져스 같이 다음 시리즈가 기대되는 작품이 잘 뽑힌 것 같네요ㅎㅎ"
"91","10","재밌었어요~ 지금까지 우울했던 느낌이 없어서 개인적으로 좋았던것 같아요"
"92","10","원래 때려부  하는게 오락영화인데 잘 만든거지 뭐어"
"93","10","재미짐 마블과는 또다른재미가 굿단연 원더우먼 탑"
"94","7","다음에 나올 저스티스 리그는 이거보다는 나아야 한다"
"95","9","볼만합니다 진심"
"96","10","역대 DC 영화들 중 제일 괜찮던데 기대를 안해서 그런가"
"97","10","전작에 비해 칙칙하지 않고 재미지게 봄"
"98","6","속았다 그냥 슈퍼맨 영화임"
"99","9","최근에 봤던 토르보다 이게 더 볼만함"
"100","1","평점에 또 속았다대여 1천5백냥에 풀리면 봐라전문가 평점 진짜다"
"101","8","나쁘지않음 액션신 훌륭함 하지만 DC안본 사람들은 이해하기 힘들수도 스토리 부족  캐릭터 설명 부족"
"102","1","너무 급하게 짜 맞추었네요 이젠 dc  tv로 볼렵니다"
"103","7","뱃신 버프점요내가 알던 뱃신이 아냐아우라도 없고힘도 없고그냥 돈 빼고 다 없어"
"104","7","이 영화에서 마더라는 단어가 몇번 나오는지 알아 맞혀 보시오"
"105","10","이렇게 다 모이니까 재밌네 원더우먼은 여전히 예쁘구"
"106","10","영웅들의 팀워크 굿굿 빨리 2탄도 보고싶다"
"107","10","너무재밋었어요 깜짝놀람"
"108","10","인간냄새나서 더 좋은이들><"
"109","6","기대하지말고 그냥 시간 남을때 보자"
"110","3","OO 개노잼인데 알바를 얼마나 뿌린겨"
"111","5","세상은 혼자 구할수 있다"
"112","2","역시나 수많은 닦이를 양산하신 DC 이번 정의닦이2도 잘 봤습니다 그래도 2니까 2점 드릴께요"
"113","6","갤가돗의 활약을 기대했다면 보지마시길 그리고 전체적으로 스토리의 개연성이 떨어짐"
"114","7","다 내려놓고 보면 재미가없지는 않다"
"115","1","너무 별로던데"
"116","7","전작에 비해 실망적인 OST 슈퍼맨과 아이들 예쁜 원더우먼 새로운 히어로들을 소개해줘야되니 이놈 보여줬다 저놈 보여줬다 정신없음"
"117","1","이게 무슨 저스티스 리그에요 맨오브스틸2지"
