"","line_text_star_final","line_text_final"
"140","10","와우 무조건 보세요 대박  근래 극장 10번정도 갔는데 다 꽝 이번에 성공  보상 받았네요  영화가 영화다워야 영화지"
"141","10","완전 통쾌한 액션영화 존잼임"
"142","10","일단 남자배우의 몸만보고 봤는데참고로 남자임대리만족이건 결말이 넘 좋네요^^~~오랜만에 보는멜깁슨도 반갑고요^^ 단 감동받으려면 40대이상부터 공감할듯~~"
"143","10","개꿀잼 아무 생각 없이 봐도 재밌을듯 액션 시원시원하고 올만에 보는 영화였는데 기대 그 이상이었음 간간히 웃기고"
"144","10",""
"145","10",""
"146","10","액션도 좋고 너무 재미 있음요~"
"147","1","걍 개노잼"
"148","1","지루해서 좀 자다나왔어요"
"149","4","진짜 노잼이네요 의미x 개연성 x 반전 x 결말 x 연기는 볼만하네유"
"150","2","진짜 살다살다 이런 노잼영화 처음봄"
"151","4","높은 평점에 낚였습니다  뻔한 소재 뻔한 전개네요"
"152","10","I can do this all day"
"153","6","시간떼우기용으로 좋아요 스토리는 별로"
"154","10","데드풀같은 미국식유머코드가 취향이면 잘맞을영화임 발상도 좋았고 병맛도있고 배우매력굿 단역만하다가 드뎌 주연했네요 섹시하고멋져요 굿 근데 쿠키영상이 없는데 2편 계획까지 없다면 좀 아쉽"
"155","2","겁나 재미없음 수면제인줄 ㅎㄷㄷ 댓글 믿지마셈살면서 본 영화중에 제일 재미없음 난지금 중학생임 돈낭비함"
"156","5","도대체 뭐가 재밌다는건지 하나도 모르겠음 보다 말았습니다"
"157","2","액션은 볼만 했으나 반복되는 스토리 지루결말도 너무 아쉬웠다굳이"
"158","1","OOO기 영화 내가 액션영화 보러와서 잘줄은 몰랏다 진짜 이거 제발 보지마쇼 부탁이니까 cg는 마리텔이 더 잘붙히겠다 스토리도 진짜 재미없고 내가 남자라서 그런가 주인공 몸 개멋있는거 빼고 진짜 두시간 내내 재미"
"159","8","너무 많이 죽어 덜 죽었으면 하하"
"160","3","킹덤 스위트홈 급이랄까 꽤 가리고봤어요 사운드때문인가 칼로찌르고 총쏘는것만 하루죙일 나와요 꽤 잔인하고 액션 범벅 스토리는 기대하지마세요 엣지오브 투모로우가 갓띵작이고 이건 그거에 미치지도 못함 특히 엔딩이 진짜진"
"161","5","액션  괜찮음 but 단점 너무 많음1 초반 액션씬이 끝나면 10~15분 그냥 대화만 주구장창하면서 배경설명만 하기때문에 지루해서 잠들뻔했음 설명충 에바임 진짜2 열린결말 완전 쓰레기 비유를 하자면 이순신"
"162","10","기대 1도 안했는데 의외의 꿀잼해피데쓰데이 액션버전 같은 느낌근데 멜깁슨 많이 늙었다ㅠㅠ"
"163","4","일본풍 라노벨 + 중국문화홍보 + 어려워서 만들길 포기한 결말 = 킬링타임도 아까움엣지오브투모로우는 그래도 재밋었지  이거는 ㄹㅇ 타임리프해서 보는걸 뜯어 말릴 정도이다"
"164","2","중간중간 시간끄는 지루하고 시간끄는 장면들이 몇몇있음 액션씬도 최악의 검술 액션이었음마무리 까지 삼위일체로 쓰레기 뭐 하나 특출난게 없음"
"165","2","걍 보다나옴 왠만한 평점낮아도 영화관 안나오는데영화관 나온거 손꼽히는데 요번에 나옴 돈버림개인적으로 개핵노잼"
"166","10","와  이정도면 닥터 스트레인지 보다 환생 더한거 아님닥터스트레인지도 울고 갈 환생스킬이넼석쇠형대단"
"167","10","롤러코스터 탄 듯한 미친 액션 오랜만에 영화관에서 시원시원한 액션보니까 너무 좋았음"
"168","1","무비싸다구 1천원으로 보고왔고 이건 별 6개줍니다"
"169","1","댓글알바  진짜 과정도 결말도 화나는 돈버리고싶으면 봐라 디워가 ㄷㅓ재밋갷노"
"170","4","별점 높아서 보러갔는데 왜 높은지 모르겠네요전반적인 스토리도 없고마무리도 너무 흐지부지였어요"
"171","1","별점 많이 준 사람들 벌 받아야함 시간아깝다"
"172","10","속 풀리는 액션 몰입감 최고당"
"173","10","내 영화 인생을 리스타트하게 해줄만큼 재밌었다 만족도 최강"
"174","10","오랜만에 극장에서 본 영화인데 몰입감있는 액션과 스토리 최고예요  액션 좋아하면 무조건 봐야하는 영화 d"
"175","9","머리를 비우고 편하게 다 때려부수는 액션 영화오랫만에 영화로 스트레스 하고 가요~"
"176","10","오랜만에 스릴 넘치는 영화 잘 봤습니다"
"177","10","오랜만에 본 액션 코로나때문에 쌓인 스트레스도 다 부셔줬다 크"
"178","10","끝맺음이 아쉽지만 재밋다"
"179","10","액션 짱 몇백번을 죽었다 살아나는데도 매번 새롭다니  대존잼"
"180","1","평점이 지나치게 높길레 조절할려고 올려요"
"181","4","앞에분들 다 알바인듯 정말 재미없고 지루하고 끝에 어이없게끝나네요"
"182","10","진짜 오랜만에 극장에서 영화 봤는데 정말 극장에서 봐야할 만한 영화를 극장에서 봐서 좋았다는 말 밖에는 ㅠㅠ 코로나야 물러가라 극장아 살아나라ㅠㅠㅠ 여러분 꼭 극장에서 보세요 이 영화 진짜 러닝타임도 안길고"
"183","10","어바웃타임이 남주가 석쇠형일때"
"184","10","100분 순삭되는 미친 타임루프물"
"185","10","엣지 오브 투모로우가 킬빌을 만났네요 ㅎㅎ 크로스본즈 액션 진짜 통쾌해요"
"186","10","완전 스트레스 날리는 논스톱 액션 시간가는줄 모르고 봤네"
"187","4","잔인한 영상으로 계속해서 같은 장면으로 죽어야 사는 남자를 보다가 마지막에 메세지 갑자기 투입"
"188","10","진짜 액션이 근래 본 영화 중 최고임이것 저것 미친 액션 때문에 스트레스 확 풀림"
"189","10","개존잼이네여 진짜 타임루프 존잼"
"190","10","200번 부활해도 존잼인 도루마무 석쇠형"
"191","10","아쉬운 부분도 있으나 액션영화로서는 제 몫을 다한 느낌"
"192","10","오랜만에 액션영화봄 통쾌함이 거의 킹스맨급"
"193","1","다 알바인듯 똑같은 내용만 계속반복결말은 완전실망"
"194","8","액션 하나는 코로나19 스트레스를 확 한방에"
"195","10","이거슨 해피데스데이 액션판  진짜 재밌음강추"
"196","10","오랜만에 생각없이 재밌게 봄"
"197","10","보는 내내 통쾌한 액션 오랜만에 이런 액션 영화 너무 좋았음"
"198","10","윈터 솔져랑 데드풀 합친 버전  액션 지수 매우매우 높음"
"199","10","럼로우형 데드풀로 환생한거야 캡틴한테도 이렇게 하면 이길 수 있었잖아내가 형 보러 조조로까지 갔다왔어여전히 액션 미쳤더라"
"200","10","첫타임에 봤는데 오랜만에 극장에서 보는 시원시원한 영화였네요"
